# N1 latencies, N1 deflection, N1 Magnitude, SNR condition, EEG Session Counter, Experiment, Session, 1st RT percentiles, 10th RT percentiles, 30th RT percentiles, 50th RT percentiles, 70th RT percentiles, 90th RT percentiles, RT means, Cutoffs, Percent Removed, True Subject Index, Accuracy
177.0000,96.0000,-152.4594,2.0000,51.0000,2.0000,7.0000,609.7100,649.8000,697.0000,753.0000,801.7000,1008.0000,793.5918,0.0000,0.0000,14.0000,0.9592
245.0000,87.0000,-150.4867,0.0000,15.0000,1.0000,1.0000,492.5400,639.8000,824.0000,899.0000,971.2000,1169.0000,896.1068,0.0000,0.0000,5.0000,0.6311
170.0000,108.0000,-146.4221,2.0000,43.0000,2.0000,6.0000,396.7800,455.9000,491.7000,548.0000,640.2000,802.4000,592.9737,0.0000,0.0000,13.0000,0.8860
177.0000,114.0000,-145.9993,2.0000,41.0000,2.0000,4.0000,425.0500,464.5000,525.0000,583.0000,623.0000,788.5000,604.8396,0.0000,0.0000,13.0000,0.9528
250.0000,105.0000,-143.4165,1.0000,19.0000,1.0000,1.0000,415.4800,539.8000,596.2000,666.0000,722.2000,858.8000,681.7009,0.0000,0.0000,7.0000,0.6916
184.0000,99.0000,-141.8818,1.0000,8.0000,2.0000,7.0000,442.5600,495.0000,553.2000,599.0000,655.2000,779.4000,623.9083,0.0000,0.0000,1.0000,0.8991
163.0000,84.0000,-141.8140,1.0000,14.0000,1.0000,2.0000,488.1800,590.5000,654.1000,699.0000,763.9000,919.8000,728.4327,0.0000,0.0000,4.0000,0.6731
203.0000,122.0000,-141.2137,1.0000,38.0000,2.0000,1.0000,452.0700,531.3000,655.0000,778.5000,857.7000,1054.0000,788.0784,0.0000,0.0000,13.0000,0.7451
226.0000,72.0000,-139.9755,0.0000,32.0000,2.0000,4.0000,583.6000,716.6000,881.8000,1008.0000,1132.0000,1295.8000,1012.4336,0.0000,0.0000,11.0000,0.8938
199.0000,102.0000,-137.6432,1.0000,11.0000,1.0000,1.0000,504.4500,548.8000,624.4000,731.0000,811.3000,971.9000,754.8182,0.0000,0.0000,3.0000,0.6636
201.0000,89.0000,-137.6425,1.0000,29.0000,2.0000,1.0000,595.8000,664.2000,755.2000,861.0000,1084.2000,1320.6000,948.3451,0.0000,0.0000,11.0000,0.8850
221.0000,106.0000,-137.0328,1.0000,20.0000,1.0000,2.0000,402.1600,462.8000,519.6000,568.5000,634.1000,760.5000,590.3529,0.0000,0.0000,7.0000,0.8235
267.0000,89.0000,-136.7737,0.0000,20.0000,1.0000,2.0000,287.2000,488.0000,557.0000,618.0000,687.0000,884.0000,640.2973,0.0000,0.0000,7.0000,0.7658
197.0000,120.0000,-132.8667,1.0000,41.0000,2.0000,4.0000,446.6000,485.4000,533.0000,591.0000,665.2000,870.0000,643.1031,0.0000,0.0000,13.0000,0.9381
178.0000,96.0000,-129.6274,2.0000,50.0000,2.0000,6.0000,577.7400,635.6000,691.8000,724.0000,801.6000,1002.8000,778.2626,0.0000,0.0000,14.0000,0.9495
257.0000,132.0000,-128.1509,0.0000,1.0000,1.0000,2.0000,532.1500,620.4000,702.3000,786.0000,853.4000,1070.8000,817.5098,0.0000,0.0000,1.0000,0.5490
189.0000,88.0000,-125.8886,1.0000,50.0000,2.0000,6.0000,589.9000,659.8000,707.2000,771.0000,838.0000,1005.8000,806.1765,0.0000,0.0000,14.0000,0.9328
206.0000,98.0000,-125.2869,1.0000,48.0000,2.0000,4.0000,597.9200,646.9000,722.5000,795.0000,890.3000,1020.8000,820.7000,0.0000,0.0000,14.0000,0.9600
187.0000,99.0000,-123.7632,1.0000,43.0000,2.0000,6.0000,427.1500,464.6000,520.0000,565.0000,648.0000,889.9000,621.7019,0.0000,0.0000,13.0000,0.8750
197.0000,51.0000,-122.3601,0.0000,14.0000,1.0000,2.0000,559.5000,669.0000,719.0000,772.0000,869.0000,987.0000,802.3964,0.0000,0.0000,4.0000,0.6126
187.0000,81.0000,-119.9116,1.0000,51.0000,2.0000,7.0000,538.6100,625.0000,676.4000,739.5000,808.6000,930.0000,765.0648,0.0000,0.0000,14.0000,0.9630
214.0000,126.0000,-119.5865,0.0000,4.0000,2.0000,3.0000,427.3500,516.7000,607.0000,688.5000,814.4000,996.0000,735.6759,0.0000,0.0000,1.0000,0.7315
237.0000,107.0000,-119.4535,0.0000,3.0000,2.0000,2.0000,438.8400,529.5000,631.4000,736.5000,845.8000,1171.6000,782.1852,0.0000,0.0000,1.0000,0.6667
227.0000,32.0000,-118.6739,0.0000,37.0000,1.0000,2.0000,435.2800,508.4000,564.2000,644.5000,710.8000,801.1000,654.4352,0.0000,0.0000,12.0000,0.5833
243.0000,125.0000,-118.5133,0.0000,30.0000,2.0000,2.0000,673.3100,735.6000,889.8000,1023.0000,1145.0000,1353.3000,1035.1071,0.0000,0.0000,11.0000,0.7857
201.0000,109.0000,-117.8393,1.0000,49.0000,2.0000,5.0000,600.2800,665.0000,725.0000,786.0000,938.0000,1093.4000,851.9417,0.0000,0.0000,14.0000,0.8932
183.0000,103.0000,-117.3873,2.0000,49.0000,2.0000,5.0000,579.0900,614.9000,685.0000,755.0000,853.1000,1003.1000,793.1636,0.0000,0.0000,14.0000,0.9545
184.0000,99.0000,-116.7754,2.0000,48.0000,2.0000,4.0000,586.2400,640.0000,690.4000,770.0000,891.6000,1085.8000,823.8440,0.0000,0.0000,14.0000,0.9266
206.0000,109.0000,-114.9082,0.0000,44.0000,2.0000,7.0000,436.3800,477.2000,545.4000,608.0000,709.2000,824.2000,634.2609,0.0000,0.0000,13.0000,0.8435
234.0000,64.0000,-114.3946,0.0000,10.0000,1.0000,2.0000,406.4800,506.4000,585.0000,661.0000,763.2000,1008.2000,701.5714,0.0000,0.0000,2.0000,0.5619
215.0000,128.0000,-111.6998,0.0000,42.0000,2.0000,5.0000,421.2600,471.7000,552.2000,596.5000,668.9000,848.5000,641.6667,0.0000,0.0000,13.0000,0.8333
236.0000,85.0000,-110.7984,0.0000,23.0000,1.0000,1.0000,537.3000,706.0000,867.0000,984.0000,1107.0000,1363.0000,1008.6396,0.0000,0.0000,9.0000,0.6486
216.0000,118.0000,-101.8476,0.0000,7.0000,2.0000,6.0000,521.0800,552.2000,637.8000,699.0000,789.0000,908.4000,727.1333,0.0000,0.0000,1.0000,0.7333
236.0000,148.0000,-99.9605,0.0000,28.0000,1.0000,2.0000,677.0500,818.1000,973.0000,1086.5000,1179.6000,1404.3000,1095.2636,0.0000,0.0000,11.0000,0.6636
173.0000,108.0000,-98.7918,1.0000,22.0000,1.0000,2.0000,411.3300,458.8000,507.4000,579.5000,639.9000,753.9000,599.2685,0.0000,0.0000,8.0000,0.6296
256.0000,91.0000,-97.1824,0.0000,0.0000,1.0000,1.0000,476.5400,577.0000,698.8000,783.0000,923.2000,1117.8000,823.0583,0.0000,0.0000,1.0000,0.5340
199.0000,95.0000,-96.9891,1.0000,9.0000,1.0000,1.0000,273.3600,490.2000,601.4000,700.0000,763.8000,900.8000,699.0619,0.0000,0.0000,2.0000,0.6991
215.0000,101.0000,-96.9873,1.0000,46.0000,2.0000,2.0000,560.3000,650.5000,714.0000,774.0000,874.5000,1091.0000,825.9906,0.0000,0.0000,14.0000,0.8962
217.0000,74.0000,-96.6760,0.0000,8.0000,2.0000,7.0000,436.4900,546.1000,624.3000,695.5000,799.6000,925.0000,726.2647,0.0000,0.0000,1.0000,0.8039
266.0000,81.0000,-96.1593,0.0000,26.0000,1.0000,2.0000,119.1600,437.2000,599.6000,660.0000,756.0000,976.6000,679.2095,0.0000,0.0000,10.0000,0.5524
200.0000,109.0000,-94.3204,2.0000,46.0000,2.0000,2.0000,575.6900,656.9000,747.5000,844.5000,995.2000,1222.3000,889.1727,0.0000,0.0000,14.0000,0.8909
